Unleaded,Crude_Price,SP500,PDI,RR_Sales,CPI,Housing,Unemployment,Production,Imports,Stocks,Demand
369.200,105.79,1960.23,13034.6,183780,238.3,928,6.1,261.545,212.025,1787.404,17.539
361.100,103.59,1930.67,13077.4,183525,238.3,1085,6.2,273.253,236.534,1790.645,17.518
348.700,96.54,2003.37,13135.4,184935,237.9,984,6.2,275.145,231.649,1795.657,17.548
340.600,93.21,1972.29,13169.5,184385,238.0,999,6.0,271.404,224.851,1808.554,17.453
317.100,84.40,2018.05,13232.4,185073,237.4,1094,5.7,286.231,221.600,1802.695,22.696
291.200,75.79,2067.56,13274.7,186059,236.2,994,5.8,279.201,218.845,1812.120,22.047
254.300,59.29,2058.90,13288.7,185227,234.8,1081,5.6,294.365,223.978,1827.038,22.379
211.600,47.22,1994.99,13242.0,185518,233.7,1101,5.7,290.746,222.315,1850.359,20.112
221.600,50.58,2104.50,13284.8,184176,234.7,893,5.5,266.465,198.807,1850.437,20.478
246.400,47.82,2067.89,13302.7,186748,236.1,964,5.5,296.531,235.360,1883.297,20.572
246.900,54.45,2085.51,13394.2,186435,236.6,1192,5.4,288.801,216.229,1908.969,21.051
271.800,59.27,2107.39,13472.0,187609,237.8,1063,5.5,293.617,224.604,1930.787,21.468
280.200,59.82,2063.11,13527.9,187323,238.6,1213,5.3,279.588,219.618,1941.278,21.608
279.400,50.90,2103.84,13576.1,188072,238.7,1147,5.3,291.964,228.160,1939.312,21.835
263.600,42.87,1972.18,13618.2,188389,238.3,1132,5.1,290.916,239.212,1961.620,21.513
236.500,45.48,1920.03,13640.8,188306,237.9,1189,5.1,282.684,216.838,1971.389,21.274
229.000,46.22,2079.36,13688.1,187883,237.8,1073,5.0,290.097,220.171,1978.637,21.464
215.800,42.39,2080.41,13719.9,188187,237.3,1171,5.0,279.132,221.130,1992.120,20.752
203.800,37.19,2043.94,13771.1,189231,236.5,1160,5.0,285.980,244.965,1984.571,20.879
